link,title,price,neighborhood,movein,size,attributes,description,latitude,longitude
http://sfbay.craigslist.org/eby/roo/6105937974.html,"2br/1 Private Bath FREE Utilities, Wifi, Gym, Washer/Dryer, Parking",1675.0,Oakland,,,"['w/d in unit', 'no smoking', 'street parking', 'private bath', 'private room']"," I am looking for ONE roommate to share a beautiful modern 3 story townhouse close to Downtown. I am renting two wonderful rooms for ONE person with NO pets on it's own private floor. These rooms have gorgeous views, one private balcony, plenty of closet space in a clean and drug free home. There is amble street parking which is located in a safe area that is close to freeways, airport, BART, Trans-bay Commuter Bus and shopping. Amenities included: - Free Utilities - Free Wi-fi - Free Cable - Free Onsite Gym - Free Laundry - Use of Kitchen (stainless steel appliances, dishwasher, stove, microwave, refrigerator) - Commuter Bus directly to Financial District in San Francisco Requirements: Positive Credit Report, and background check ($60 non-refundable), proof of income and drug free. ",37.7641,-122.1633
http://sfbay.craigslist.org/eby/roo/6098192734.html,Gay Poet Seeks A Responsible Roommate. Gigantic Garden.,,fairfield / vacaville,2017-05-01,200,"['cats are OK - purrr', 'dogs are OK - wooof', 'w/d in unit', 'no smoking', 'off-street parking', 'no private bath', 'private room']"," Gentleman seeks a roommate of any age. Beautiful quiet area. Very lovely serene garden. It will be pleasant if you enjoy activities like meditating, nature walks and higher consciousness. Our house can be open to friendly straight and LGBT people. Your share of fair affordable rent is negotiable. If this might be what you're seeking please send a note and I can reply with more details. A very nice gentle place. ",,
http://sfbay.craigslist.org/eby/roo/6100815820.html,Room in Nice Neighborhood,750.0,lafayette / orinda / moraga,,,"['no private bath', 'private room']"," Furnished, 7 minute to Bart, on the bus line, near stores. 15 Minute drive to Berkeley, 5 minute to Saint Mary's, in a beautiful neighborhood. No smoking/drugs/drinking. Quiet setting. ----Please provide phone contact, and basic info. ",37.8437,-122.1242
http://sfbay.craigslist.org/eby/roo/6086247289.html,1 Bedroom in a 2200 sq. ft Penthouse Apartment.  MOVE IN ASAP!,1200.0,oakland piedmont / montclair,2017-05-01,2200,"['cats are OK - purrr', 'laundry in bldg', 'street parking', 'no private bath', 'private room', 'wheelchair accessible']"," ****Reply via email with a short bio about yourself. Thanks! *** Hi there! Month-to-month room (with the option of it being more permanent if we all get along) in a 3 bedroom apt (you would be the 3rd), the roommates are young professionals who are super chill. We love having people over, but it's pretty quiet most of the time. We have a very friendly dog name Zeus, and the room is (partly) furnished! ***Not looking for couples at this time!*** Looking for a responsible person in their mid/late 20's or early/mid 30's. Our space is on the top floor--the Penthouse of our Mediterranean style building that was built in 1924. The apartment was completely remodeled 3 years ago, so it's in great condition. We have a private balcony with a fire-pit where we love to roast marshmallows. The place is 1 mile to 19th st. Bart, or .7 miles to MacArthur Bart. We are a 7 minute walk to the lovely Piedmont Avenue! E-mail me a short bio of yourself. This place is a steal! Looking for someone ASAP! Official move in date would be Monday May 1st, we can work out the details later. Thanks and happy hunting! --Tom ",37.82048,-122.25807
http://sfbay.craigslist.org/eby/roo/6109007655.html,may 15th -july 25th single room,950.0,oakland rockridge / claremont,,,"['furnished', 'laundry in bldg', 'no smoking', 'off-street parking', 'no private bath', 'private room']"," a bedroom in a large 2 bed 1 bath apt right next to cca campus. 10 mins walk to safeway, college ave. 15 mins walk to rockridge bart station. including everything will be share bathroom with a male cca student. *225 clifton street apt 304* ",37.836124,-122.249207
http://sfbay.craigslist.org/eby/roo/6093981011.html,Room for Rent at a Hayward Hills Home(Gated Complex Close to CSUEB),900.0,hayward / castro valley,,,"['w/d in unit', 'no smoking', 'off-street parking', 'no private bath', 'private room']"," I am looking to rent a room at my house at the hayward hills at the Stonebrae Golf Course and Country Club and 4 miles away from Cal State East Bay. Perfect for current or incoming students. The house sits at a gated complex with live 24 x 7 guarded gates, video security monitoring via surveillance camera system, hiking trails, amazing views to the Bay Area, etc.... It has granite counter tops, high end appliances(Washer, Dryer, Dishwasher, Fridge, Stove ,Cook top, Microwave), nice landscaped backyard, dual zone heating and cooling, etc. The house is very clean and maintained, and i am looking for a professional male/female that is honest, responsible, clean, and easy to get along with. Two of the roommates are students, one male nursing and one female chiroprator. Very cool people! Room (11' x 10'): $900 Require First Month Rent plus security deposit. Lease terms: Month-to-Month, No Pets, No Section 8, No Smoking, No Drugs, Single Occupancy Only. After phone interview, be prepared to fill out an application and provide 3 pay stubs, full credit report, and 2 references. Move in available as soon as April 20th ",37.6586,-122.0472
http://sfbay.craigslist.org/eby/roo/6109005438.html,Single Room W Shared Bathroom,1000.0,albany / el cerrito,2017-04-28,1270,"['no private bath', 'private room']"," There's an available spot in a 2 Bedroom/ 2 Bathroom in a brand new building. It's 2 blocks away from the Emery-Go-Round, AC-Transit and the BART. Making getting around to the city or your way home much easier. For some of the amenities of the apartment, they include: Hard Surface Flooring Stainless Steel Appliances Spacious Closets Vaulted Ceilings in Select Homes Eat-in Kitchen Oversized Windows Bay and Berkeley Hills View Heated Outdoor Swimming Hot Tub Access Controlled Community 24-hour Fitness Center Clubhouse with Wi-Fi What were looking for in a housemate,is a one year lease who's a working professional. That is clean, responsible, respectful, as while as have a great sense of humor :) Moving in would mean first month's rent and a security deposit equal to a month's rent which is $999. It's a one year lease and we can't take pets. Book a tour here: http://bookapt.co/artistry?c=clp_ba ",37.7806,-122.2166
http://sfbay.craigslist.org/eby/roo/6107596825.html,Short term Studio $1200/month private entrance all utilities included,,hayward / castro valley,2017-05-01,326,"['furnished', 'w/d hookups', 'off-street parking', 'private bath', 'private room']"," I have a studio (approx. 326 sq ft.) for rent. The address is 22732 1st St, Hayward, CA 94541 Good neighbourhood quiet and no drama, safe and convenient. Downtown Hayward, close to markets, banks, STARS, schools. cinemas. Close to highway 580/880 etc. Close to BART Hayward station. Details as follows: 1. 1 Bathroom, 1 Kitchen and 1 Bedroom 2. All utilities included. (Water,electricity,gas,garbage,cable,internet included) 3. Laundry options: -Wash outside -Twice a week inside (Landlord's) -Can bring in washer and dryer (But needs to be 1 piece type in order to fit in space) 4. No pets 5. The lease will be until April 1st,2017 maximum. 6. No smoking 7. No drugs 8. No parties and drama 9. 1 person or couple only. 10. Deposit is $500, the total to move in is deposit ($500) + rent 11. Mail box is shared. Garbage is shared. 12. Available anytime. 13. Off- street parking 14. Can be furnished or not. You can have it empty if you have your own furniture. If needed, a bed will be provided. Please contact Maria at 510three9713two1 for information or email. Please do not text. mariaduart53@ att.net (remove space before att) Pictures will be available soon. ",37.672604,-122.07968
http://sfbay.craigslist.org/eby/roo/6108984700.html,share a peaceful apartment with me and my geriatric kitty!,874.0,oakland north / temescal,,,"['cats are OK - purrr', 'dogs are OK - wooof', 'laundry on site', 'street parking', 'no private bath', 'private room']"," Hello! I have a room for rent in my cozy, peaceful apartment near Oakland/Berkeley border. I am a 36 y/o female nursing student, in my final semester. I have an old kitty who mainly just stays on my bed, but she's quite friendly. The apartment is medium sized, in a gated apartment complex. I feel super safe here and love living in this spot! The rent is $875, including utilities (pg&e, internet, water, etc.) There is coin operated laundry on site, and only one parking spot but if you have a car we could switch off using it. There's also street parking. I don't drink or do any drugs, and would prefer someone who is similar or who drinks very occasionally. (Not 420 friendly, sorry!) I would prefer a female roommate, but I'm open to hear from anyone. Let me know if this sounds like a match. I'm looking for someone to move in ASAP. Happy searching! --Alexa ",,
http://sfbay.craigslist.org/eby/roo/6091330910.html,Furnished Room in Fairfield - Includes Utilities,600.0,fairfield / vacaville,,,"['furnished', 'laundry on site', 'street parking', 'no private bath', 'private room']"," Furnished Room available in Fairfield Share Full Bath Kitchen Privileges for light cooking Access to Living room and Dining room Use of Washer and Dryer Smoking Outside No drugs, No pets SSI Welcomed $600/month plus deposit Includes Utilities Month to Month Available Now Please no calls after 7:30PM show contact info Kim ",,
http://sfbay.craigslist.org/eby/roo/6083795113.html,One bedroom  Remodeled House,650.0,oakland east,,,"['w/d in unit', 'street parking', 'no private bath', 'private room']"," One bedroom with available for $650. Youtube video of the house https://www.youtube.com/watch?v=o9bGijeiTPE&feature=youtu.be The current tenant age range is 20 to 34 with individuals in the fields of IT, Banking, Solar and Restaurant. Common Area: Do you like to grill? There's an integrated grill on-site perfect for the summertime. Do you like to dance? Dance Central's available with TV. The kitchen has countertops with microwave, dishwasher and oven with refrigerator. Silverware and new Cuisine art cookware can be used (just don't use utensils on the nonstick pans!) Hardwood floors adorn the entire living space. There will be a shoes off policy. New washer, dryer are included on site. Do you stay active with Dance Central? The living room will have an Xbox 360 with Kinnect and 40"" flat screen and 52"" flat screen. There will be a leather couch to relax during the afternoons. Several stores around the area include Walmart, Costco, Subway, GNC. The San Leandro Bart is two miles. both 880 and 580 are one mile from the residence. UC Berkeley is 20 min. Go bears! Chabot and CSU are 20 min. San Francisco, affectionately called the City is 20-30 min. Pleasanton is 30 minutes. You:: Working professional and/or student who is responsible and you clean up after yourself. You want to live in a middle class neighborhood in a renovated home with hardwood floors throughout. Non-smoker desired. The living situation is ideal for the individual who works in Foster City or San Francisco, but prefers the lower cost rent and plan to commute between the San Mateo Bridge or the individual who commutes through Bart (San Leandro Bart's only 2 miles away). You are able to coordinate with household members with the chores responsibility and expectations. One month's down payment required. Internet is included. Utilities are split with tenants. There is a shallow concrete wall surrounding the parameter with ample areas to grow plants. Jeremy ",37.727654,-122.17199
http://sfbay.craigslist.org/eby/roo/6083789564.html,Room available for rent (Updated house),650.0,oakland east,,,"['w/d in unit', 'off-street parking', 'no private bath', 'private room']"," Individuals with a felony background need not apply. https://www.youtube.com/watch?v=o9bGijeiTPE The current tenant age range is 20 to 34 with individuals in the fields of IT and Restaurant. Common Area: Do you like to grill? There's an integrated grill on-site perfect for the summertime. Do you like to dance? Dance Central's available with TV. The kitchen has countertops with microwave, dishwasher and oven with refrigerator. Silverware and new Cuisine art cookware can be used (just don't use utensils on the nonstick pans!) Hardwood floors adorn the entire living space. There will be a shoes off policy. New washer, dryer and refrigerator are included on site. Several stores around the area include Walmart, Costco, Subway, GNC. The San Leandro Bart is two miles. both 880 and 580 are one mile from the residence. UC Berkeley is 20 min. Go bears! Chabot and CSU are 20 min. San Francisco, affectionately called the City is 20-30 min. Pleasanton is 30 minutes. You:: Working professional and/or student who is responsible and you clean up after yourself. You want to live in a middle class neighborhood in a renovated home with hardwood floors throughout. Non-smoker desired. The living situation is ideal for the individual who works in Foster City or San Francisco, but prefers the lower cost rent and plan to commute between the San Mateo Bridge or the individual who commutes through Bart (San Leandro Bart's only 2 miles away). You are able to coordinate with household members with the chores responsibility and expectations. One month's down payment required. Utilities included (water, high speed internet) with chores/electricity divided among everyone or we could chip in for weekly maid service. There is a shallow concrete wall surrounding the parameter with ample areas to grow plants. ",37.728112,-122.172389
http://sfbay.craigslist.org/eby/roo/6108945029.html,Bedroom available to move in ASAP. Female only,1400.0,berkeley,2017-04-28,250,"['w/d in unit', 'no smoking', 'street parking', 'no private bath', 'private room']", I live in a beautiful 1 bedroom apt and looking for someone who can stay in my bedroom. It has a walk in closet and big window facing south with plenty of light coming through it. Apt complex is on 4th street and addison. Easy access to freeway. Washing machine and drier is inside the unit so you wouldn't spent time and money going to laundry room!!! ,37.866741,-122.299978
http://sfbay.craigslist.org/eby/roo/6108974165.html,Work Exchange for small cottage near UC,300.0,berkeley,,,"['furnished', 'w/d in unit', 'no smoking', 'street parking', 'no private bath', 'private room']"," I am looking for a handyman or handywoman who can do small jobs around the house...including carpentry, fixing plumbing , cleaning up, clearing away stuff to dump, etc. in exchange for room plus a BIG reduction in rent. the cottage is 12 x 10 in a big backyard. It needs to have the insulation finished and sheet rock put up. There is a flooring, but we have a carpet to put down. . Expect 25 hours a month of work exchange. plus $300 rent (which will go to materials and utilities). Ready June 1st. Place is worth at least $800...You would be part of the house which is a great group of predominately UC students and grad students from about 20 years old to 27 years old. There is older House manager on site who has lived here on and off for 15 years. and me a den mother. Great old Berkeley home. You Must be relaxed, able to take initiative and be easy to talk to. I like to be able to talk about the projects and know you can take direction well .. We keep a low alcohol zone because we have sometimes undergraduates and I like it better--No drama. Cigarettes and cigars smell up the place. Pot is now legalized I know, but I like to also have a very low drug zone in the house and backyard for pot also. Please send references, a short paragraph about yourself, a picture so I can see who I am talking to, and idea of what you can do and not do as a handyman. We have students here so please do not plan to hit up on the young women. ",37.863,-122.2749
http://sfbay.craigslist.org/eby/roo/6100271079.html,room for rent in San Ramon,1300.0,danville / san ramon,,,"['furnished', 'laundry on site', 'no smoking', 'off-street parking', 'private bath', 'private room']"," room for rent in 2200 sq. ft home on golf course,12X14ft.one rm,or 13x 16 foot 2nd rm w/closet,upstairs single family,Full house privileges except garage.No pets Gated community on golfcourse. ",,
http://sfbay.craigslist.org/eby/roo/6108966405.html,Furnished Summer Sublease (one single or double room),,berkeley,,,"['laundry on site', 'carport', 'no private bath', 'private room']"," - Sublease: One space available in a single or double - Lease Duration: June 1- mid August (dates negotiable) - Rent: $1,400 for single or $700 for double plus $15-$20 in utilities - It is a 6 bed, 3 bath apartment (4 girls share one bathroom) - The apartment is on the 3rd floor - On-site laundry and washers at the bottom - Accessible balcony - 5 min walk to all bus stops, less than 10 min walk to UC Berkeley campus, 10 min to downtown Berkeley, eateries around - One parking spot at extra cost ",37.864766,-122.26122
http://sfbay.craigslist.org/eby/roo/6101562494.html,Private rm in beautiful Montclair - possible nanny/work-trade option,1300.0,oakland piedmont / montclair,2017-05-15,2600,"['w/d in unit', 'no smoking', 'street parking', 'private bath', 'private room']"," My husband and I recently purchased our home and have been renting out 2/3 rooms for about 3 months. We have a newborn baby boy and are currently on family leave until mid July. The house has 3 bedrooms and 3 bathrooms and my mom will be coming once a week to babysit and will be staying in one of the rooms. The baby will be sleeping in the master suite with us for the first year and it is pretty secluded. What we are offering: - Rent: $1300/single person (Utilities included) - Possibly open to reduced rent for nanny or work trade - Private Bedroom furnished with a queen sized bed - Private Bathroom (will be used by guests, but primarily for the tenant) - Shared Kitchen - In Home Washer and Dryer - Home will be furnished (note the photos are from the staging in the sale) My husband and I are 28 and 32. I am a project manager at a construction company in Oakland and my husband is a traffic signal electrician in SF. We get up pretty early and work regular hours. We have a small terrier named Woodrow who comes with me to work everyday and he is a real sweetheart! Outside of work we enjoy rock climbing, camping, traveling, etc. We like a clean house but aren't super crazy about it. We enjoy hosting dinner parties and get-togethers, but we are definitely not party animals. What we are looking for: We are looking for a mature person who is a non-smoker. Also must be okay with our dog and living with a baby. If this sounds like something you'd be interested in, please feel free to give me a call with any questions. ",37.838826,-122.195378
